Timestamp,Dataset Size (Train),Dataset Size (Val),Params Count,RNN_SIZE,NUM_LAYERS,BATCH_SIZE,Best Val Loss,Train Loss @ Best,Best Val Acc,Train Acc @ Best,Best Epoch
2026-01-28 14:56:52,71153,7606,1226967,128,3,128,0.54369,0.29903,0.90455,0.93799,5
2026-01-28 15:03:43,71153,7606,370391,64,3,128,0.51899,0.39528,0.91678,0.92697,5
2026-01-28 15:07:16,71153,7606,135639,32,3,128,0.73246,0.6331,0.86576,0.89464,5
2026-01-28 15:12:06,71153,7606,66647,16,3,128,1.21331,1.07828,0.79095,0.78864,5
2026-01-28 15:21:09,71153,7606,370391,64,3,256,0.54954,0.44519,0.90849,0.92405,5
2026-01-28 15:32:46,71153,7606,370391,64,3,32,0.49071,0.39298,0.92309,0.9256,5
2026-01-28 15:40:01,71153,7606,370391,64,3,64,0.54287,0.42857,0.91139,0.92291,4
2026-01-29 00:22:38,2761319,300977,515258,64,3,32,0.39751,0.37906,0.93451,0.92864,6
2026-01-30 11:13:28,2761319,300977,1443706,128,3,32,0.40379,0.37792,0.93251,0.92655,3
2026-01-30 20:23:49,2761319,300977,1443706,128,3,32,0.41651,0.36988,0.93393,0.92914,3
